cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
ASAP1-IT2,HSPB6,TMEM86A,GIMAP6,STK10,TMF1,KALRN,EIF2A,TAPT1,HILPDA
GPR20,LRFN3,HIPK3,GIMAP2,CREBRF,UBA3,ALG1L,MED12L,QDPR,CALU
LYNX1,WDR62,TP53I11,ASIC3,CLTB,ARL6IP5,SLC41A3,PLCH1,DCAF16,SMKR1
MAFA-AS1,FBXO17,MYBPC3,SLC4A2,RNF44,LMOD3,KIAA1257,RSRC1,DHX15,COPG2
MAFA,FBXO27,SPI1,PRKAG2,TSPAN17,FRMD4B,EFCC1,LXN,PI4K2B,AKR1B1
PLEC,AXL,STX3,INSIG1,F12,PPP4R2,PLXND1,IQCJ-SCHIP1,WDR19,NUP205
OPLAH,CEACAM6,BEST1,FBXO25,GRK6,EBLN2,ASTE1,NMD3,RFC1,KIAA1549
KIFC2,PRR19,FTH1,CLN8,PRR7-AS1,ROBO1,ACKR4,ZBBX,RPL9,TTC26
CDKN2B-AS1,PINLYP,NXF1,FAM85B,FAM193B,CGGBP1,CEP63,GOLIM4,N4BP2,MRPS33
CDKN2B,LYPD5,PLCB3,PPP1R3B,PHYKPL,ZNF654,DZIP1L,PRKCI,ATP8A1,SSBP1
TEK,APOC1,PPP2R5B,MTUS1,ZNF354A,C3orf38,ESYT3,TBL1XR1,GUF1,EZH2
C9orf72,APOC2,BATF2,REEP4,MAML1,DHFR2,MRPS22,FXR1,NFXL1,RARRES2
B4GALT1-AS1,CKM,CDC42EP2,TNFRSF10B,HUS1B,NSUN3,WWTR1,DNAJC19,DCUN1D4,XRCC2
ENHO,ZNF541,NEAT1,TNFRSF10A,SERPINB9P1,MTRNR2L12,ERICH6-AS1,MCF2L2,USP46,NCAPG2
DNAJB5,PPFIA3,EHBP1L1,BNIP3L,SSR1,RIOX2,SIAH2-AS1,YEATS2,USP46-AS1,ARHGEF10
PGM5,TSKS,PCNX3,KIF13B,SLC35B3,CLDND1,GPR171,EIF2B5,DANCR,KBTBD11-OT1
OSTF1,SPIB,GRK2,PPP2CB,FAM8A1,IMPG2,P2RY14,C3orf70,SCFD2,XKR5
PCSK5,NKG7,PITPNM1,BAG4,MBOAT1,SENP7,MLF1,EHHADH,LNX1,DLC1
PRUNE2,C19orf84,UNC93B1,LETM2,E2F3-IT1,PCNP,GFM1,TMEM41A,KIT,C8orf48
FRMD3,SIGLEC12,INPPL1,PLEKHA2,TDP2,ZBTB11,SCHIP1,CRYGS,PPAT,SLC39A14
CTSL,EPS8L1,RELT,SPIDR,C6orf62,ZBTB11-AS1,SERPINI1,TBCCD1,SPINK2,CDCA2
NXNL2,EDDM13,KCNE3,RRS1-AS1,HIST1H2BD,NEPRO,TNIK,IL1RAP,STAP1,SCARA3
S1PR3,EBF4,UVRAG-DT,NCOA2,HIST1H2BE,USF3,CCDC39,XXYLT1,SLC4A4,ESCO2
FBP1,C20orf27,USP35,UBE2W,HIST1H3E,QTRT2,SOX2-OT,TM4SF19-AS1,ADAMTS3,FZD3
CORO2A,BMP2,GAB2,PAG1,BTN2A2,B4GALT4,PSMD2,FBXO45,EPGN,PURG
SMC2-AS1,NINL,PRCP,DECR1,BTN3A1,POGLUT1,MAGEF1,NCBP2,NUP54,WRN
CT70,SNTA1,PICALM,TRIQK,BTN3A3,TIMMDC1,LIPH,NCBP2AS2,FAM47E,ADAM32
KLF4,BPI,MAML2,YWHAZ,PPP1R11,POPDC2,P3H2,RPL35A,SEPTIN11,GINS4
SNX30,MYBL2,BIRC3,RRM2B,TRIM39,COX17,ATP13A4,ZNF141,MRPL1,PRKDC
SLC31A2,SLPI,CASP1,AZIN1,MICA,GTF2E1,XXYLT1-AS2,ZNF721,PAQR3,MCM4
FKBP15,MATN4,CARD16,ATP6V1C1,HCP5,ARGFX,MUC4,ATP5ME,HNRNPD,GGH
SLC31A1,MMP9,ATM,FAM91A1,DDX39B-AS1,SEC22A,SLC51A,FGFRL1,HNRNPDL,MYBL1
TNFSF15,SLC2A10,SCN4B,NRBP2,C6orf47,MYLK,RNF168,CTBP1-AS,LIN54,MCMDC2
TLR4,SALL4,JAML,WDR97,ABHD16A,SNX4,WDR53,TACC3,C4orf36,SLCO5A1
MEGF9,CABLES2,C2CD2L,DGAT1,SAPCD1-AS1,ZXDC,PIGZ,HAUS3,PKD2,JPH1
DENND1A,EEF1A2,CCDC153,ADCK5,TNXB,TPRA1,FYTTD1,GRK4,SMARCAD1,ZBTB10
ZBTB43,NCAM2,TIRAP,COMMD5,PBX2,SEC61A1,RNF212,ADRA2C,METAP1,ZNF704
NIBAN2,CLIC6,TMEM45B,DOCK8,HLA-DRA,ISY1,NELFA,STX18-AS1,SLC9B2,FABP5
C9orf106,TRPM2,B4GALNT3,KDM4C,HLA-DQB1,H1FX,BLOC1S4,TRMT44,PPA2,LRRCC1
PTGES,LRRC3,TIGAR,TTC39B,TAP2,MBD4,ACOX3,CLNK,GAR1,SLC26A7
VAV2,DIP2A-IT1,CD9,SNAPC3,PSMB8-AS1,PIK3R4,FGFBP2,TAPT1-AS1,RRH,RAD54B
RXRA,CLTCL1,GPR162,HACD4,PSMB9,NPHP3,FAM184B,PACRGL,TIFA,FSBP
FCN1,SDF2L1,CLEC12A,UBE2R2,BRD2,RYK,SEPSECS,ZCCHC4,NDST3,CCNE2
NACC2,GNAZ,GABARAPL1,DCAF12,HLA-DPA1,ANAPC13,SEPSECS-AS1,SMIM20,SNHG8,FBXO43
SAPCD2,RAB36,CREBL2,UBAP1,TAPBP,PPP2R3A,STIM2,TBC1D19,USP53,CCN3
NSMF,UPB1,ERP27,FAM219A,ZBTB22,MSL2,STIM2-AS1,TMEM156,INTU,DSCC1
MRC1,INPP5J,PYROXD1,IL11RA,SYNGAP1-AS1,STAG1,KLF3-AS1,KLB,LARP1B,COL14A1
NEBL,LGALS1,RESF1,TESK1,SMIM29,NCK1,UGDH-AS1,LIAS,JADE1,MTBP
OTUD1,NPTXR,ANO6,TLN1,FKBP5,ARMC8,RHOH,PDS5A,NAA15,ATAD2
MPP7,APOBEC3B,DDN-AS1,TJP2,BRPF3,COPB2,NSUN7,SLC30A9,SCOC-AS1,KHDRBS3
MACORIS,PMM1,DAZAP2,ANXA1,MTCH1,COMMD2,UCHL1,BEND4,ABCE1,TOP1MT
RASSF4,SCUBE1,FIGNL2,NMRK1,BTBD9,ERICH6,OCIAD1,GNPDA2,TTC29,PYCR3
UBE2D1,PNPLA3,RARG,SPTLC1,FRS3,SIAH2,AASDH,TXK,ARHGAP10,GPAA1
EGR2,WNT7B,MFSD5,BICD2,PRICKLE4,DHX36,ARL9,TEC,RPS3A,HGH1
REEP3,CELSR1,BLOC1S1,FGD3,UBR2,SLC33A1,ADGRL3,OCIAD2,GATB,BOP1
CDH23,GYG2,STAT2,PHF2,BICRAL,SSR3,JCHAIN,FIP1L1,NAF1,TONSL
PSAP,MAP3K15,STAC3,PRXL2C,C6orf226,TIPARP-AS1,UTP3,SRD5A3,TMA16,RECQL4
ZNF503,CXorf21,AGAP2-AS1,GNG10,GNMT,KPNA4,DCK,SRD5A3-AS1,MFAP3L,KANK1
ZNF503-AS2,SRPX,AVIL,INIP,SRF,PDCD10,RASSF6,KIAA1211,AADAT,RLN2
KCNMA1,CCNB3,RASSF3,AKNA,NFKBIE,MYNN,PPBP,SRP72,WDR17,RLN1
ZCCHC24,ITGB1BP2,TBC1D30,TMEM268,PAQR8,SEC62,SDAD1,HOPX,ING2,HAUS6
TSPAN14,BEX5,IRAK3,HSPA5,ELOVL5,KCNMB2-AS1,PRKG2,REST,CASP3,ACER2
BMPR1A,BEX1,MDM2,ZBTB34,PTP4A1,ZMAT3,TMEM150C,NOA1,TLR3,FOCAD
PAPSS2,NXF3,DUSP6,RALGPS1,MTO1,MFN1,SCD5,IGFBP7-AS1,SLC9A3,CYP4F26P
ANKRD22,RADX,ATP2B1-AS1,SH2D3C,RWDD2A,NDUFB5,COPS4,CENPC,SLC9A3-AS1,KIF24
HTR7,MORC4,PLXNC1,CRAT,ME1,TTC14,MAPK10,UBA6,NKD2,SIGMAR1
MYOF,MID2,TMCC3,TOR1B,SNX14,DCUN1D1,NUDT9,UBA6-AS1,ADCY2,FANCG
TBC1D12,KCNE5,LTA4H,SETX,PNRC1,KLHL6,ABCG2,CSN1S1,CCT5,ARHGEF39
ENTPD1,CHRDL1,APAF1,GBGT1,ANKRD6,KLHL24,MMRN1,MTHFD2L,CMBL,MELK
SLIT1,TMEM255A,UHRF1BP1L,CACFD1,SNX3,AP2M1,BMPR1B,AREG,ANKRD33B,TOMM5
FRAT1,GPC3,DRAM1,FBXW5,FOXO3,ABCF3,MTTP,ANXA3,TRIO,ALDH1B1
RRP12,RTL8B,CORO1C,TOR4A,CDC40,CLCN2,BANK1,ENOPH1,PURPL,ANKRD20A3
PGAM1,AFF2,GLTP,IDI2-AS1,HDAC2-AS2,SENP2,CISD2,THAP9,PDZD2,FXN
UBTD1,F8,ALDH2,WDR37,DSE,TRA2B,INTS12,MRPS18C,TARS,MAMDC2
PI4K2A,L1TD1,OAS1,ECHDC3,HINT3,DNAJB11,CYP2U1,ABRAXAS1,C1QTNF3,TRPM6
PKD2L1,MSH4,PLBD2,RSU1,L3MBTL3,EIF4A2,LEF1,AFF1,RAD1,C9orf40
KAZALD1,INAVA,RAB35,VIM,VNN1,ST6GAL1,LEF1-AS1,PPM1K,BRIX1,CEP78
ELOVL3,LYPD8,PXN,ARHGAP21,PHACTR2,RTP4,RPL34-AS1,PPM1K-DT,NADK2,CKS2
NFKB2,GRM2,P2RX4,YME1L1,UTRN,CCDC50,SEC24B-AS1,PYURF,CPLANE1,IARS
ITPRIP,SUCLG2-AS1,ADGRD1,ARHGAP12,ADGB,OPA1,CFI,PIGY-DT,RPL37,CENPP
CFAP58,TP63,ZDHHC20,ITGB1,TAB2,HES1,EGF,NAP1L5,SELENOP,ECM2
SHTN1,UGT8,FRY,ITGB1-DT,LATS1,TMEM44-AS1,METTL14,TIGD2,ANXA2R,FANCC
DENND10,PRLR,FOXO1,CCNY,SYNE1,UBXN7,SYNPO2,CCSER1,CCL28,PTCH1
BAG3,IL31RA,LCP1,ZNF25,MTRF1L,NRROS,BBS7,HPGDS,MTREX,ANKS6
MCMBP,IL17B,RUBCNL,WASHC2C,SERAC1,CEP19,BBS12,STPG2,PLPP1,SMC2
CHST15,EBF1,DLEU2,WASHC2A,RSPH3,SENP5,SPRY1,TSPAN5,MIER3,CTNNAL1
PTPRE,ELFN1-AS1,FAM124A,NRBF2,AGPAT4,DLG1,MFSD8,EIF4E,ELOVL7,PALM2-AKAP2
DUSP8,VGF,WDFY2,JMJD1C,CAHM,LRCH3,SLC7A11,ADH5,NDUFAF2,PTGR1
KRTAP5-AS1,DENND2A,EDNRB,TACR2,MPC1,PIGG,NDUFC1,TRMT10A,ADAMTS6,POLE3
IFITM10,LPL,DNAJC3,SAR1A,C6orf120,SLC26A1,RNF150,BDH2,SHLD3,PHF19
CTSD,FEZ1,ATP11A,SGPL1,FAM120B,IDUA,GYPE,TBCK,NLN,C5
KCNQ1,CD163L1,OR11G2,MICU1,MAD1L1,CTBP1,ANAPC10,AIMP1,SREK1,GARNL3
SLC22A18AS,DCN,NDRG2,SEC24C,SNX8,MAEA,NR3C2,RPL34,MAST4-IT1,CERCAM
PHLDA2,GZMH,ARHGEF40,ZSWIM8,AP5Z1,TMEM129,MIR4453HG,OSTC,MAST4-AS1,WDR34
OR52K2,MIR9-3HG,LRP10,ZSWIM8-AS1,OCM,MXD4,TIGD4,CASP6,TAF9,PKN3
OR52K1,TMC5,JPH4,NDST2,CCZ1,RNF4,PLRG1,PLA2G12A,SMN2,WDR5
CAVIN3,CCDC144NL,CARMIL3,GLUD1,ZNF316,FAM193A,RXFP1,PGRMC2,SERF1A,C9orf116
PPFIBP2,KCNN1,TGM1,NUTM2A,HDAC9,ADD1,PPID,PABPC4L,SMN1,QSOX2
ADM,CILP2,LTB4R,LIPA,C7orf31,NOP14-AS1,SPOCK3,SCOC,MCCC2,TPRN
MTRNR2L8,CCDC155,CBLN3,IFIT2,SKAP2,HTT,NEK1,ELMOD2,MRPS27,ZMYND19
MICAL2,ASIP,SPTSSA,PCGF5,HOXA1,LRPAP1,WWC2-AS2,INPP4B,UTP15,AKR1E2
ARNTL,PRAME,GNG2,TNKS2,HOTAIRM1,STX18,RWDD4,SMARCA5-AS1,F2R,NET1
FAR1,IGLC3,GCH1,MARVELD1,TAX1BP1,MRFAP1,SLC25A4,SMARCA5,ZBED3,SFMBT2
FAR1-IT1,MPPED1,PELI2,DNMBP,ZNRF2,MRFAP1L1,SORBS2,OTUD4,RPS23,PROSER2
ANO5,UPK3A,HIF1A,CHUK,HERPUD2,GRPEL1,PLEKHG4B,SMAD1,ATP6AP1L,CCDC3
PRRG4,BMX,SUSD6,BLOC1S2,SEPTIN7-AS1,ZNF518B,SDHA,ZNF827,CETN3,MCM10
LDLRAD3,LDOC1,SIPA1L1,SFXN3,EEPD1,RAB28,PDCD6,SLC10A7,MBLAC2,FRMD4A
PTPRJ,ADGRL2,PSEN1,SUFU,TRGV7,CPEB2-DT,AHRR,LRBA,ADGRV1,SUV39H2
DTX4,MYBPHL,NUMB,WBP1L,ZMIZ2,MED28,EXOC3-AS1,SH3D19,SLF1,MIR1915HG
MPEG1,MYBPH,NPC2,ADD3,HUS1,ANAPC4,BRD9,MAP9,FAM81B,SKIDA1
MS4A6A,CHI3L1,IFI27,PRDX3,NIPSNAP2,C4orf19,NDUFS6,GUCY1A1,SPATA9,BMI1
MS4A4A,HSD11B1,CLMN,WDR11,RABGEF1,PGM2,ATPSCKMT,GUCY1B1,RHOBTB3,PDSS1
MS4A4E,AGT,SYNE3,PLEKHA1,TMEM248,UGDH,DAP,SH3RF1,WDR36,MASTL
MS4A7,KLHL29,PPP2R5C,OAT,SBDS,UBE2K,ZNF622,HPF1,STARD4-AS1,PARD3
MS4A14,EFEMP1,CDC42BPB,PGGHG,HIP1,FRYL,ZFR,GALNT7,EPB41L4A-AS1,TIMM23
SLC15A3,B3GALT1,TEDC1,IFITM2,YWHAG,EXOC1,SUB1,CEP44,SRFBP1,MSMB
VPS37C,ERICH2,CHP1,IFITM3,ZP3,CEP135,IL7R,GPM6A,ZNF608,ZWINT
DAGLA,WNT6,GANC,LMNTD2,TMEM60,POLR2B,TMEM267,DCTD,C5orf63,BICC1
RAB3IL1,PTPRG-AS1,ZNF106,IRF7,PHTF2,YTHDC1,NNT,CDKN2AIP,PRRC1,SLC16A9
AHNAK,C3orf14,SQOR,PNPLA2,FAM133B,RUFY3,CDK7,STOX2,SLC27A6,CDK1
CCDC88B,GABRA4,SPPL2A,LSP1,SAMD9,GRSF1,RAD17,PRIMPOL,ISOC1,RTKN2
MIR194-2HG,UNC5C,MAPK6-DT,ASCL2,SAMD9L,COX18,TNPO1,CFAP97,CHSY3,DNA2
AP5B1,PRSS12,MYO5A,RHOG,VPS50,ANKRD17,FAM169A,FRG1-DT,HINT1,STOX1
CATSPER1,KLKB1,ADAM10,TRIM21,SMURF1,PF4,ANKDD1B,FRG1,LYRM7,DNAJC9
RIN1,FGF10,LACTB,TRIM34,ARPC1A,RCHY1,POC5,MRPL36,SLC22A5,USP54
PELI3,FGF10-AS1,PLEKHO2,DCHS1,BUD31,THAP6,SV2C,UBE2QL1,UQCRQ,ACTA2-AS1
PC,FOXD1,SPG21,TMEM9B,ZNF655,G3BP2,F2RL2,MIR4458HG,VDAC1,PANK1
CLCF1,KCNN2,MAP2K1,DENND5A,POLR2J3,USO1,F2RL1,6-Mar,SMAD5-AS1,KIF20B
CABP4,SPRY4,ADPGK-AS1,ZNF143,UPK3BL1,STBD1,S100Z,CDH9,HSPA9,HECTD2
ALDH3B1,MSX2,BCL2A1,SBF2,POLR2J2,CCNI,CRHBP,DROSHA,LRRTM2,KIF11
TCIRG1,ZFP57,TM6SF1,RNF141,SRPK2,CNOT6L,PDE8B,NPR3,MATR3,SLC35G1
FOLR3,MOCS1,ZNF710,SOX6,ATXN7L1,SEC31A,ZCCHC9,AMACR,SNHG4,HELLS
FOLR2,IL22RA2,SLCO3A1,HTATIP2,HBP1,HELQ,COX7C,DNAJC21,MATR3-1,ALDH18A1
ARAP1,ETV1,ARRDC4,SLC35C1,BCAP29,HSD17B11,TMEM161B-AS1,NIPBL-DT,PROB1,LOXL4
P2RY6,STEAP1,RHBDL1,CRY2,SLC26A4,HERC6,MEF2C-AS1,WDR70,PCDHB9,ERLIN1
GDPD5,TAS2R60,MSRB1,MAPK8IP1,BMT2,RAP1GDS1,SRP19,ZNF131,PCDHGA1,NPM3
DGAT2,ZMAT4,ATP6V0C,PHF21A,TES,DNAJB14,CDO1,PAIP1,PCDHGB2,NOLC1
WNT11,PENK,ABAT,CREB3L1,LSM8,UBE2D3-AS1,SEMA6A,NNT-AS1,PCDHGA5,SFXN2
ACER3,RORB,SNN,ACP2,ING3,SLC9B1,SEMA6A-AS1,MRPS30-DT,PCDHGA6,NEURL1
MYO7A,PLPPR1,COQ7,RAPSN,WASL,PAPSS1,LOX,MRPS30,PCDHGA7,DCLRE1A
PAK1,MUSK,METTL9,CELF1,ZNF800,FAM241A,PPIC,ITGA2,PCDHGB4,ADRB1
NOX4,PRDM12,SDR42E2,SLC43A3,GCC1,AP1AR,PHAX,MOCS2,PCDHGA8,CASC2
SLC36A4,ZNF503-AS1,IL21R,PATL1,TNPO3,LARP7,ACSL6,NDUFS4,PCDHGB5,NANOS1
SMCO4,CDHR1,APOBR,WDR74,AHCYL2,PDE5A,IL3,SETD9,PCDHGA9,SFXN4
RAB39A,CYB5R2,SULT1A1,ATL3,NRF1,ABHD18,C5orf56,ERCC8,PCDHGB6,PIDD1
NCAM1,ASIC1,SLX1B,RTN3,MKLN1,ELF2,TCF7,KIF2A,PCDHGA10,CHID1
SIDT2,TRHDE,SULT1A4,MARK2,MKLN1-AS,MGARP,C5orf66,DIMT1,PCDHGB7,OSBPL5
TAGLN,TRHDE-AS1,MVP,ESRRA,TMEM140,ZNF330,H2AFY,IPO11,PCDHGA11,RRM1
TMPRSS13,SHISA2,SULT1A3,EHD1,STMP1,USP38,BRD8,LRRC70,PCDHGC3,HBB
IL10RA,MYO16,ITGAL,ATG2A,ZNF746,GAB1,REEP2,CWC27,PRELID2,TRIM6
ARHGEF12,KCNK10,CNEP1R1,SNX15,CDK5,MMAA,SIL1,MAST4,LARS,OR6A2
CRTAM,HHIPL1,HEATR3,TIGD3,CHPF2,TMEM184C,MZB1,PIK3R1,TCERG1,ZNF215
NRGN,DUOXA1,ADCY7,KCNK7,RHEB,PRMT9,SPATA24,SLC30A5,DPYSL3,WEE1
SLC37A2,GLDN,USB1,MAP3K11,GALNT11,TRIM2,SMIM33,CCDC125,CARMN,SBF2-AS1
APLP2,CGNL1,C16orf70,RAB1B,KMT2C,PDGFC,TMEM173,AK6,SLC26A2,PDE3B
ST14,MT1H,NOL3,ANKRD13D,RBM33,ETFDH,CXXC5,GTF2H2C,MYOZ3,NUCB2
WNT5B,CCL22,LRRC36,CORO1B,UBE3C,TMEM192,PSD2,SERF1B,ZNF300,TPH1
CACNA2D4,VAT1L,ATP6V0D1,CDK2AP2,MSRA,MSMO1,PFDN1,GTF2H2,SPARC,SAAL1
CD4,FOXF1,RIPOR1,C11orf24,MTMR9,DDX60,PLAC8L1,BDP1,G3BP1,E2F8
CD163,SLC22A31,LCAT,TPCN2,LONRF1,CBR4,RBM27,PTCD2,LARP1,CCDC34
SLC2A3,WSCD1,TANGO6,PPFIA1,NAT1,HPGD,PPP2R2B,BTF3,GEMIN5,KIF18A
C3AR1,SLC47A1,HAS3,IL18BP,PDLIM2,AGA,JAKMIP2,GFM2,LSM11,CCDC73
CLEC4A,RUNDC3A,WWP2,ARAP1-AS2,EGR3,UFSP2,SH3TC2,NSA2,ZBED8,CAT
CLEC4D,DLGAP1-AS3,CLEC18A,ATG16L2,PEBP4,CYP4V2,SH3TC2-DT,ANKRD31,INSYN2B,LRP4-AS1
CLEC4E,PSMA8,ZNF821,RAB6A,CHMP7,CCDC127,PCYOX1L,ZBED3-AS1,NPM1,LRP4
CLEC12B,ONECUT2,ZFHX3,UCP2,SARAF,ZDHHC11,TIGD6,TBCA,THOC3,PACSIN3
CLEC7A,SLC7A10,CMIP,KCTD21,PLPBP,ICE1,ITK,SCAMP1-AS1,ARL10,FOLH1
PLBD1,GIPR,ZDHHC7,PANX1,IDO1,MED10,CYFIP2,JMY,NHP2,TNKS1BP1
H2AFJ,PRKCG,KIAA0513,SESN3,GOLGA7,NSUN2,TTC1,MSH3,HNRNPAB,SSRP1
PDE6H,LAMP5,ZCCHC14,PCSK7,IKBKB,MTRR,CCNJL,CKMT2-AS1,COL23A1,PRG2
PTPRO,SNAP25,GALNS,FXYD6,THAP1,FASTKD3,FGF18,SSBP2,ZFP2,SLC43A1
TMTC1,SEL1L2,VPS9D1,MPZL3,RAB2A,C5orf22,RPL26L1,ATG10,LTC4S,TIMM10
FGD4,PHACTR3,DEF8,MPZL2,YTHDF3,RAI14,FAF2,TMEM161B,FLT4,FAM111B
LRRK2,CRYBB2,FAM157C,UBE4A,MTFR1,NIPBL,DBN1,KIAA0825,ZFP62,MS4A2
TMEM117,ANOS1,ABR,CBL,VCPIP1,RICTOR,FAM153CP,TTC37,GMDS,MYRF
VDR,GPC4,ARRB2,TECTA,TRAM1,TTC33,N4BP3,ARSK,MYLK4,FEN1
KCNH3,ATP2B3,MINK1,TBRG1,MSC-AS1,PRKAA1,ZNF454,GPR150,SERPINB1,INCENP
CELA1,RSPO1,CHRNE,MSANTD2,TMEM70,C5orf51,SCGB3A1,RFESD,PSMG4,ASRGL1
ACVRL1,VIT,CAMTA2,FLI1,PEX2,HMGCS1,GMDS-DT,RIOK2,RPP40,LRRN4CL
ACVR1B,FIGN,GABARAP,WNK1,WWP1,EMB,SLC22A23,PPIP5K2,FARS2,RCOR2
GRASP,SPINK8,TNFSF12,LTBR,RIPK2,PELO,PRPF4B,C5orf30,RIOK1,PPP1R14B-AS1
NR4A1,PRICKLE2,TNFSF13,IFFO1,GEM,DHX29,SNRNP48,NUDT12,PAK1IP1,SLC22A11
KRT7,DEFA4,TMEM88,PTPN6,PLEKHF2,GPBP1,BMP6,TMEM232,SYCP2L,SAC3D1
GPR84,FAM135B,PER1,NECAP1,STK3,SMIM15,BLOC1S5,DTWD2,GMPR,CDCA5
ZNF385A,DMRT1,PIK3R5,DUSP16,VPS13B,SREK1IP1,TFAP2A-AS2,ZNF474,NUP153,POLA2
PDE1B,ORM2,FLCN,HIST4H4,PABPC1,PPWD1,TMEM14C,GRAMD2B,DEK,RNASEH2C
LRP1,AKR1C2,MYO15A,C2CD5,ZNF706,TRIM23,TMEM14B,RAPGEF6,CDKAL1,FOSL1
SRGAP1,OVOL1,MAPK7,CPNE8,GASAL1,MRPS36,RANBP9,MIR3936HG,SOX4,SLC29A2
GNS,MRGPRF,ULK2,SLC2A13,OXR1,ANKRA2,NBAT1,RAD50,GPLD1,NUDT8
CPM,MYEOV,NATD1,ZNF641,FBXO32,IQGAP2,CARMIL1,KIF3A,ALDH5A1,TESMIN
LYZ,CLEC2A,MAP2K3,TMBIM6,RNF139-AS1,AGGF1,HIST1H2BF,GDF9,HIST1H2BB,CCND1
PHLDA1,KRT81,UNC119,NCKAP5L,RNF139,WDR41,HIST1H1D,LEAP2,HIST1H2BC,PLEKHB1
NAV3,CHST4,FLOT2,METTL7A,WASHC5,SCAMP1,HIST1H2BI,HSPA4,HIST1H4D,KCTD14
ACSS3,CDRT15L2,SSH2,BIN2,LRRC6,LHFPL2,HCG11,CDKL3,HIST1H3D,CCDC81
BTG1,ETV4,CDK5R1,GALNT6,PHF20L1,HOMER1,ZKSCAN4,CDKN2AIPNL,HIST1H2BJ,ME3
NUDT4,TGM3,SLFN5,SLC4A8,PSCA,RASA1,ZBED9,CAMLG,ZNF184,DISC1FP1
AMDHD1,ECRG4,CCL3L1,ITGB7,LRRC24,CCNH,TRIM15,DDX46,HIST1H2BL,SCARNA9
HAL,ADAM23,SRCIN1,SP1,INSL6,MEF2C-AS2,DDX39B,SMAD5,HIST1H4J,SLC35F2
GAS2L3,TRPV6,RARA,PRR13,MOB3B,MEF2C,ATP6V1G2,KLHL3,HIST1H2AK,ACAT1
MYBPC1,HMX3,ATP6V0A1,PCBP2-OT1,DDX58,LYSMD3,LTB,HNRNPA0,PGBD1,POGLUT3
CKAP4,CLEC4C,AOC2,NPFF,DNAJA1,ARRDC3-AS1,GPANK1,PKD2L2,ZSCAN31,EXPH5
CMKLR1,HS3ST4,PLCD3,NCKAP1L,CHMP5,FAM172A,CSNK2B,NME5,NRM,DIXDC1
TMEM119,ITGAD,FMNL1,RDH5,RUSC2,ERAP1,DDAH2,CDC23,CCHCR1,TTC12
TRPV4,BIRC7,ARHGAP27,CD63,CCDC107,ERAP2,SLC44A4,SLC23A1,MPIG6B,PHLDB1
HVCN1,FAM163A,HOXB5,MMP19,GBA2,CHD1,NELFE,DNAJC18,EHMT2,HMBS
SH2B3,TMEM78,PPP1R9B,MYL6,TMEM8B,PAM,DXO,CXXC5-AS1,PPT2,H2AFX
HRK,TCF23,TOB1-AS1,IL23A,FAM221B,GIN1,FKBPL,EIF4EBP3,EGFL8,MIR100HG
OASL,TRPM8,TRIM25,STAT6,FRMPD1,FER,TSBP1-AS1,HARS,HSD17B8,CCDC15
P2RX7,ART3,YPEL2,DDIT3,CBWD6,SLC25A46,HLA-DOB,PCDHGA12,RPS18,STT3A
HCAR2,PRDM5,USP32,MBD6,CNTNAP3B,CSNK1G3,PSMB8,AFAP1L1,WDR46,CHEK1
HCAR3,NDNF,MAP3K3,PIP4K2C,GCNT1,CDC42SE2,HLA-DOA,HMGXB3,PFDN6,DCPS
MMP17,PCLO,MILR1,OS9,GNAQ,ZCCHC10,RING1,TCOF1,SYNGAP1,GSEC
MTMR6,KLRG2,PITPNC1,USP15,TLE4,SKP1,HCG25,RPS14,RPS10,ST3GAL4
RASL11A,TRPV5,WIPI1,RAP1B,UBQLN1,JADE2,DAXX,SMIM3,SNRPC,C11orf45
ALOX5AP,HNF4G,PRKAR1A,SLC35E3,DAPK1-IT1,C5orf24,ITPR3,IRGM,UHRF1BP1,NCAPD3
RGCC,ADGRD2,ABCA6,OSBPL8,SEMA4D,PCBD2,PACSIN1,ATOX1,RPL10A,SLC6A13
DLEU7,ASS1,MAP2K6,ATP2B1,FAM120AOS,CATSPER3,TAF11,MRPL22,TEAD3,FOXM1
KCTD12,HMX2,CD300LF,EEA1,SLC35D2,FAM13B,TCP11,THG1L,LHFPL5,TEAD4
UGGT2,KCNJ11,TMEM104,IGF1,TMOD1,ETF1,ZNF76,CLINT1,SRPK1,RAD51AP1
GPR18,THSD4,SLC16A5,WASHC4,TRIM14,PAIP2,ARMC12,MIR3142HG,SRSF3,NCAPD2
GPR183,CYP11A1,ST6GALNAC2,TCP11L2,TGFBR1,UBE2D2,PI16,CCNG1,TMEM217,CDCA3
TNFSF13B,MEIOB,SYNGR2,SELPLG,ERP44,MALINC1,PIM1,NUDCD2,MDGA1,MAGOHB
IRS2,SMTNL2,SOCS3,ANKRD13A,TMEM246,PURA,TBC1D22B,RARS,GLO1,TAS2R50
ANG,IGF2BP1,TIMP2,ARPC3,ABITRAM,SLC35A4,SAYSD1,BNIP1,KIF6,TAS2R19
RNASE4,LAMP5-AS1,CEP295NL,VPS29,SUSD1,IK,KCNK17,BOD1,MDFI,TAS2R43
RNASE6,FRGCA,CBX4,PPTC7,PTBP3,DND1,UNC5CL,ZNF346,BYSL,GPR19
