cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
LMNA,YOD1,SMG7-AS1,TOMM40L,WDR47,ELOVL1,CCDC163,PARS2,NEXN,VANGL2
SEMA4A,HSD11B1-AS1,ARPC5,CREG1,SARS,SZT2,PRDX1,PATJ,FUBP1,UAP1
CRABP2,NEK2,EDEM3,SFT2D2,CYB561D1,TESK2,PIK3R3,WDR78,SAMD13,DDR2
ARHGEF11,ABCB10,PRELP,TBX19,GNAI3,AKR1A1,LURAP1,SRSF11,ZNHIT6,NUF2
CD1D,ATP6V1C2,SOX13,GAS5-AS1,AMPD2,GPBP1L1,FAAH,HHLA3,ZNF326,UCK2
CD1E,TDRD15,PPP1R15B,RABGAP1L,STRIP1,TMEM69,ELAVL4,ZRANB2,GLMN,ILDR2
MNDA,GAREM2,RAB29,RABGAP1L-IT1,RBM15-AS1,MKNK1-AS1,TTC39A,ZRANB2-AS2,RPL5,MAEL
AIM2,CENPA,RASSF5,IVNS1ABP,CEPT1,CMPK1,PRPF38A,ACADM,CCDC18,DUSP27
PEA15,CGREF1,IL19,RGS18,CTTNBP2NL,SPATA6,CZIB,RABGGTB,PTBP2,C1orf112
SLAMF1,MRPL33,CD55,RGS1,PTPN22,EPS15,TTC22,NEXN-AS1,EXTL2,CENPL
SLAMF7,HNRNPLL,FAM71A,NEK7,HIPK1,NRDC,FGGY,PRKACB,PRMT6,CACYBP
NECTIN4,ARHGEF33,BATF3,PTPRC,NRAS,BTF3L4,HOOK1,RPF1,HENMT1,RASAL2-AS1
FCER1G,PLEKHH2,TGFB2,CSRP1,SEC22B,CPT2,CYP2J2,COL24A1,AKNAD1,RASAL2
FCGR2A,KCNK12,TTC13,ARL8A,PIAS3,TMEM59,ALG6,ODF2L,GPSM2,DHX9
HSPA6,NRXN1,KMO,ADIPOR1,LIX1L-AS1,TCEANC2,PGM1,HS2ST1,GSTM5,ASPM
FCGR3A,SLC1A4,ZBTB18,BTG2,ANKRD34A,SSBP3,SLC35D1,RBMXL1,RBM15,C1orf53
FCGR2B,ADD2,ADAM17,PFKFB2,FMO5,USP24,GADD45A,ZNF644,SLC16A4,UBE2T
OLFML2B,C2orf81,SLC66A3,LPGAT1,NBPF11,OMA1,LRRC40,HFM1,DDX20,SNRPE
